canonical_smiles
CCOC(=O)C12CCCC=C1N(C(=O)C2CC(=O)NC)CC3=CC=C(C=C3)C4=CC=CC=C4
CC1CC(CC(C1)(C)C)N2C3=C(C=C(C=C3)CCC(=O)O)N=C2NC4=CC=C(C=C4)OC(F)(F)F
C1=CC(=CC(=C1)F)C2=C(N=CS2)C(=O)NCCN.Cl
CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCC[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.CS(=O)(=O)[O-]
CC1=NC2=NC(=NN2C(=C1)NC3=CC=C(C=C3)S(F)(F)(F)(F)F)C(C)(F)F
C1=CC=NC(=C1)CN(CCN(CC2=CC=CC=N2)CC3=CC=CC=N3)CC4=CC=CC=N4
C1=CC(=CC=C1NN=C(C#N)C#N)OC(F)(F)F
CC1=C(C(=O)C(=CC1=O)CCCCCCCCCC[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4)C.[Br-]
C(CC(=O)[O-])C(C(=O)[O-])O.[Na+].[Na+]
C1CNCCC1NC2CC2C3=CC=CC=C3.Cl.Cl
CCC1=CN=C(C=C1)C(=O)COC2=CC=C(C=C2)CC3C(=O)NC(=O)S3
CC1(CC(CC(N1[O])(C)C)O)C
C(CC(=O)N)C(C(=O)O)N
C1=CC2=C(C=C1O)C(=O)OC3=C2C=CC(=C3)O
C1CC(C2=CC=CC=C2C1)NC(=O)CCNC(=O)C3=CC=C(C=C3)OC(F)(F)F
CCCCCCOC1=C(C(=C(C(=C1)C)O)C)C
C1=CC=C(C=C1)CC2=CC=CC=C2NC(=O)C3=CC(=O)NC4=CC=CC=C43
C1=CC(=CC(=C1)Cl)NN=C(C#N)C#N
C1=CC=C2C(=C1)C3=CC=CC=C3[I+]2.[Cl-]
CN(C)C1=CC=C(C=C1)C=CC(=O)C2=CC=C(S2)Br
CCCCCCCCCCCCCC=CC(C(CO)NC(=O)C)O
CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C)C=C)C)C=C)C(=C3CCC(=O)O)C)CCC(=O)O.[Zn+2]
CC1=NC=CC2=C1NC3=CC=CC=C23
CC1=C(C2=C(CCC(O2)(C)C(=O)O)C(=C1O)C)C
C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F
C1=CN=C(C=C1CN)Cl.Cl
CC1=C(C=CC(=C1)NC(=O)C(=C(C2CC2)O)C#N)C(F)(F)F
CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)C)OC)OC(=O)N)C)C)O)OC
C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C
CS(=O)C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F
CS(=O)C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F.Cl
COC1=CC=C(C=C1)S(=O)(=O)NCCCC(=O)NC2=CC=C(C=C2)SC3=CC=C(C=C3)N
CC1=CC(=CC(=N1)CC(=O)NC2=NN=C(C=C2)CCC(CN3C=C(N=N3)C(=O)NC)F)OC4CC(C4)(F)F
CC1=CC(=NC=C1C2=CC(=NC=C2)C(F)(F)F)C(C)NC3=NC=CC(=N3)N4C(COC4=O)C(C)F
CC(C(F)(F)F)NC1=NC(=NC(=N1)C2=NC(=CC=C2)Cl)NC(C)C(F)(F)F
CC(C)N1C2=NC=NC(=C2C(=N1)C3=CC4=C(N3)C=CC(=C4)O)N
CCCC(C1=CN=CC=C1)NC2=NC(=NC=C2C)C3=CC(=C(C=C3)NC(=O)NCC)OC
CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O
CCCC(CCC)C(=O)O
CCCC(CCC)C(=O)[O-].[Na+]
CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)Cl
